部品№,品名,規格,棚番
1923,インシュロックタイ　１００本入　　　　,AB300-W,1F-L-00
1924,インシュロックタイ　５０本入　　　　　,AB350-W,1F-L-00
183222,ＳＫＭバインダー　１００個入　　　　　,SKM-20,1F-L-00
183223,ＳＫＭバインダー　１００個入　　　　　,SKM-30,1F-L-00
350347,カートリッジグリース（ワネン）４００ｇ,ﾒｶﾊﾟﾜｰ FF#0 (NO.0) 400G,1F-L-01
350349,カートリッジグリース（ワネン）８０ｇ　,ﾒｶﾊﾟﾜｰ FF#1 (NO.1) 80G,1F-L-01
371295,リサイクルウエス５　　　　　　　　　,SUN WASTE,1F-L-02
20,エアーホース　　　　　　　　　　　　　,AS1 4*2.5,1F-L-03
22,エアーホース　　　　　　　　　　　　　,AS1 8*6,1F-L-03
23,エアーホース　　　　　　　　　　　　　,AS1 6*4.5,1F-L-03
24,エアーホース　　　　　　　　　　　　　,AS1 12*9,1F-L-03
27,エアーホース　　　　　　　　　　　　　,AS1 10*7.5,1F-L-03
210959,ソレノイドバルブ　　　　　　　　　　　,VF3130-5MD1-02-X60,1F-MA-01
210946,ソレノイドバルブ　　　　　　　　　　　,VF3330-5MJ1-02-X102,1F-MA-02
210292,ソレノイドバルブ　　　　　　　　　　　,VZ3140-5MO-X53,1F-MA-03
181983,ソレノイドバルブ　　　　　　　　　　　,SY3140-5MO,1F-MA-04
200202,製品側駆動部Ａｓｓ’Ｙ１　　　　　　　,UA-09FMII-01-01-00,1F-MA-05
340834,製品側駆動部Ａｓｓ’Ｙ　１　　　　　　,80ZM-A1,1F-MA-06
340836,Ｓ側駆動部Ａｓｓ’Ｙ　１　　　　　　　,80ZMS-A1,1F-MA-07
200205,製品側駆動部Ａｓｓ’Ｙ１　　　　　　　,UA-08FMIII-01-01-00,1F-MA-08
200207,Ｓ側駆動部Ａｓｓ’Ｙ１　　　　　　　　,UA-08FMIII-02-01-00,1F-MA-09
182105,ＬＭブロック　　　　　　　　　　　　　,SSR15XW1UU(GK)BLOCK,1F-MA-10
182107,ＬＭブロック　　　　　　　　　　　　　,SSR25XW1UU(GK)BLOCK,1F-MA-11
183652,ＬＭブロック　　　　　　　　　　　　　,SHS35LV1UU(GK)BLOCK,1F-MA-12
210944,ソレノイドバルブ　　　　　　　　　　　,VF3130-5MJ1-02-X102,1F-MB-01
187771,ソレノイドバルブ　　　　　　　　　　　,SY3140T-5LOZ,1F-MB-04
200203,製品側駆動部Ａｓｓ’Ｙ２　　　　　　　,UA-09FMII-01-02-00,1F-MB-05
340835,製品側駆動部Ａｓｓ’Ｙ　２　　　　　　,80ZM-A2,1F-MB-06
340837,Ｓ側駆動部Ａｓｓ’Ｙ　２　　　　　　　,80ZMS-A2,1F-MB-07
200206,製品側駆動部Ａｓｓ’Ｙ２　　　　　　　,UA-08FMIII-01-02-00,1F-MB-08
